Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
HMGB2	0.3869255161583064	4.738818300696544	5.65288874682804	2.7015838318881094e-8	5.111910147350736e-5	8.65636850747963
LAG3	0.3561914330679564	1.6264258201158672	5.5564724107079915	4.555927400570522e-8	5.111910147350736e-5	8.169963102850247
GZMB	0.5147181543396512	2.0353938895404613	5.50134519676581	6.122048080659564e-8	5.111910147350736e-5	7.895143833172036
BRIP1	0.3630442497756601	2.37461789221258	5.31399816544623	1.6408500532185444e-7	1.0275823458281134e-4	6.979211671676276
ICOS	0.42405169830100203	1.873258808165191	5.23236139462982	2.499165824194066e-7	1.195729096842741e-4	6.588872327174326
SMC4	0.2978524578733325	4.190877286614324	5.179058138960456	3.2796992872995467e-7	1.195729096842741e-4	6.336904147680348
FEN1	0.3066267474588596	3.872440461924596	5.161608185275222	3.5830939301638835e-7	1.195729096842741e-4	6.254915947572504
TFDP1	0.32941588299067315	4.603267440536529	5.149017668280905	3.8186957184598516e-7	1.195729096842741e-4	6.195912826592182
HELLS	0.335209396526107	3.1347729054722118	5.1030514513701215	4.812923096059588e-7	1.2564371327792513e-4	5.981592247858367
MCM2	0.37842661116650217	4.2293971777162085	5.0948166486690365	5.015717096923159e-7	1.2564371327792513e-4	5.94337819800197
CTLA4	0.39562236773952864	1.8555789002380088	5.0672702840693065	5.755935969553558e-7	1.310783600339242e-4	5.815948811306391
IL2RA	0.3511173615111921	1.9395300175608703	5.047331889093337	6.356514148175693e-7	1.3269223284316758e-4	5.724099533130096
RRM1	0.2734650019170026	4.226948936073436	4.977158764454575	8.990672297745281e-7	1.7324333927578407e-4	5.403418649708331
ETV7	0.45060397902218274	2.6345130123293043	4.96062234101545	9.75031778445973e-7	1.7446104321479732e-4	5.328436531056588
MCM3	0.31031004970435894	5.306861565603257	4.943227812779275	1.0616165730383026e-6	1.7728996769739654e-4	5.249805577191668
RAD54L	0.3195053740448574	2.5421728248754256	4.925014218132586	1.160219728677411e-6	1.8164690127105715e-4	5.167738429283399
NFKB1	0.17616377263875885	3.7502004106500855	4.756380759342031	2.6059865004833486e-6	3.6513734202249173e-4	4.420968221708661
PRF1	0.4414851758453259	2.50008252632691	4.754961426086421	2.623741379802336e-6	3.6513734202249173e-4	4.414716256013386
PDCD1LG2	0.303003339003267	2.727601969245613	4.709548242149897	3.249332173253688e-6	3.957776903183054e-4	4.2176744878630155
STAT1	0.4033309571003845	6.391524798768217	4.7068248733548375	3.291090719684192e-6	3.957776903183054e-4	4.205912726817226
CXCL13	0.6273352128607871	3.1876259337567325	4.705094124709663	3.3178968050636378e-6	3.957776903183054e-4	4.198441133798462
IRF1	0.3788272361589918	3.9232511040580724	4.695091908996796	3.476975162167935e-6	3.9590103551048533e-4	4.155310769502107
POLD3	0.19600777933894406	3.2068816962412794	4.683913848485914	3.6632578564631324e-6	3.9828350819598945e-4	4.107248892102558
GBP1	0.47201481008391244	4.69912526582399	4.6751736032725555	3.815889898883731e-6	3.9828350819598945e-4	4.0696700019283965
LYZ	0.5699902015799362	6.493215255182956	4.609730973642761	5.1677201647245464e-6	5.084032022658228e-4	3.7906272958552885
IL2RB	0.3885662519646138	2.504694580645771	4.59469260685987	5.537880763197763e-6	5.084032022658228e-4	3.727011567205987
CD3D	0.475813257474801	3.0675254235696574	4.594389448240524	5.5455985017529075e-6	5.084032022658228e-4	3.7257310875624734
NASP	0.21755512827719856	4.288655429596985	4.580234336669938	5.917547925757677e-6	5.084032022658228e-4	3.6660474000310304
CD80	0.25745868767517344	1.8869456994264313	4.574796728948259	6.066793554719582e-6	5.084032022658228e-4	3.6431525487181995
CCNA2	0.33219857341525266	3.7438507382047717	4.574014176946066	6.088661104979914e-6	5.084032022658228e-4	3.6398469634888153
CD38	0.4389078476846164	2.099840369853275	4.555161470154895	6.636338254806394e-6	5.193530268054818e-4	3.5606912537075344
DNMT1	0.2198769953265665	4.472013845826902	4.553138454572232	6.697684192889063e-6	5.193530268054818e-4	3.5522343356476
IFNG	0.33386575416638486	1.1178798843494828	4.548472723556944	6.8417764010303e-6	5.193530268054818e-4	3.532679442577769
MCM6	0.252718183814028	4.040058193590102	4.494923954425492	8.721269311877825e-6	6.126854569690969e-4	3.309780623070078
SRSF2	0.16938777307438396	5.199420796063231	4.493758270665839	8.766676987537036e-6	6.126854569690969e-4	3.3050076594050966
BIRC3	0.48274025567505985	3.704257639838225	4.487577367504857	9.014875089554797e-6	6.126854569690969e-4	3.279388782330714
NFKBIE	0.25577550019048306	3.6953341304504965	4.48672258217564	9.049645472198236e-6	6.126854569690969e-4	3.275855609622016
