Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
IFNG	2.1331401239117596	2.733359552138958	4.552429400918817	2.8024782537020688e-5	0.055727637289122695	2.142650985625944
GBP1	1.6170166335089868	11.043208527021829	4.4195512712828124	4.443990214443596e-5	0.055727637289122695	1.7600913871142803
STAT1	1.1854359841662456	12.828028295855336	4.23126067651581	8.457645578993891e-5	0.07070591704038894	1.2262746931523036
DLGAP5	1.0714935883448418	8.730707428364584	3.91617873178227	2.4121436289492216e-4	0.1512414055351162	0.3579837035956679
TAP1	1.0921368055348792	12.355543090190523	3.797780954769599	3.5432256096204907e-4	0.17739392264595227	0.04007223582244546
IL22RA2	1.9419603636075662	4.377362762829532	3.741517132491216	4.24387374751082e-4	0.17739392264595227	-0.10896729043538933
CXCL9	2.2100150507573484	10.577296282556357	3.684951094647913	5.081044078319699e-4	0.1820465506917972	-0.2575606499023486
LAG3	1.6814912915244138	7.051746316236096	3.584881621030413	6.962727453302211e-4	0.20675517150271597	-0.5172680171827047
IL12B	1.4724620166568119	2.335155135567624	3.56444043534053	7.419443953446744e-4	0.20675517150271597	-0.5696135307696117
FGF14	-1.1919168383568401	2.5314565990738407	-3.4898571673504235	9.341592366934178e-4	0.21417601718250806	-0.7592407239243535
IRF1	1.0030864570652784	10.720887780428964	3.474713513086856	9.797761529230277e-4	0.21417601718250806	-0.7983141787514612
IRF9	0.814039450865052	10.292465006296316	3.4600964893138624	0.0010247656324521917	0.21417601718250806	-0.8352067996631423
STMN1	0.9268231709829092	12.239070291860756	3.4298761482799454	0.0011240759955614369	0.21512728715646623	-0.9111803154266509
GZMB	1.8040103547759385	6.579441739865215	3.374552876942718	0.0013299685083024487	0.21512728715646623	-1.04919568863565
ICOS	1.6032861285824567	5.896961309631186	3.361928116408755	0.0013817192657964265	0.21512728715646623	-1.0804947794106896
MELK	1.004222277204144	9.095486577932274	3.3432509533783237	0.001461785968904896	0.21512728715646623	-1.1266637032070914
CTLA4	1.525520960498042	5.493113155333458	3.304713624545173	0.0016405263115689688	0.21512728715646623	-1.2211879452191852
FASLG	1.5118455359918255	5.159762687055696	3.2959437750650595	0.0016837139243832304	0.21512728715646623	-1.2424893669683783
CXCL10	1.7855614363922954	9.655283810816591	3.2861756363084043	0.0017345133239574852	0.21512728715646623	-1.2667389098233786
L1CAM	2.069213534786484	7.783331922656829	3.273440363351478	0.0018015996817072628	0.21512728715646623	-1.2977834645981225
ZBTB32	1.3937555827571728	3.2719076128295645	3.260243623656608	0.0018726764640408914	0.21512728715646623	-1.3295017730726668
GNLY	1.6067566702725282	6.926829090464652	3.2578458387606686	0.0018870814662847915	0.21512728715646623	-1.3356921320320518
IDO1	1.8105119157666492	7.922106503064081	3.230727531724465	0.0020449010686311134	0.22298312522290575	-1.4013343869474042
IL2	0.8051479354672625	0.6716405010180448	3.2115526616443884	0.00216215930859928	0.22594564774862477	-1.4469905304403374
NRP2	-0.8928400304572081	10.58150310488065	-3.1958207170531727	0.0022663727487179917	0.22736251415138892	-1.485301558863605
CD2	1.372306824567556	8.550375527593973	3.166441499194313	0.0024700538811191454	0.2382651974556468	-1.5555063173235517
CDKN2C	0.8053159282405155	9.226252892875628	3.1069419518991634	0.002935974023138321	0.26090299975177683	-1.6962919880344973
APOL3	1.0650573784736868	9.333039573999445	3.090432206597428	0.0030795694920123604	0.26090299975177683	-1.735126415146134
MX1	1.3339031469953528	11.718887030026746	3.069214404605769	0.003273329704651174	0.26090299975177683	-1.784740381153021
ABCC12	-1.8129889256065126	1.3285771741840127	-3.0547457232398556	0.003411929278471518	0.26090299975177683	-1.8184391310980001
CXCR6	1.3032056894559436	6.659120753203978	3.044264604914931	0.0035156144672975832	0.26090299975177683	-1.8427604988933366
CXCR3	1.345311585713356	7.011172095713509	3.0407603836663353	0.003551092534104181	0.26090299975177683	-1.8509085217554055
MYBL2	0.9101189298439476	11.144741488130535	3.0394869238499695	0.003564024079277425	0.26090299975177683	-1.8538600014664595
KIF14	0.9640348698839573	8.376129160016017	3.0380366032971877	0.0035788051160248304	0.26090299975177683	-1.8572203543344399
CCL19	2.1004403239770806	7.670907381503003	3.031995522183756	0.003640990825882053	0.26090299975177683	-1.8712055096384872
IL2RB	1.2029497770186302	9.41698947330453	2.9967281040769205	0.00402461060887922	0.2644382974743969	-1.9524659990381812
GRB10	-0.6293337759360818	10.800132049397163	-2.9878623065579633	0.004125317601155886	0.2644382974743969	-1.9725614045699769
CCNE1	1.0842122250301012	7.945557591011492	2.986010816626117	0.004148447622815935	0.2644382974743969	-1.9770292709431554
CD274	1.1305117876556319	6.867808398082399	2.9800032431531065	0.004217054702295888	0.2644382974743969	-1.990417958720776
TBX21	1.3931171155485749	5.503425798908284	2.9766191426343633	0.004259238730146805	0.2644382974743969	-1.9984094047127607
CCR7	1.692408109572174	7.238574879882595	2.9683274992862296	0.004360558726188952	0.2644382974743969	-2.017424004342448
MCM6	0.5492668410781316	10.860382723503804	2.933976079610472	0.004798842240508714	0.2644382974743969	-2.0950385013249373
XCL1	1.2503619399630392	3.9519230472778015	2.9293791686313697	0.004860904984282823	0.2644382974743969	-2.1054289498744887
AURKB	0.8913933814244095	8.535505660351113	2.920924699529564	0.004979937744284748	0.2644382974743969	-2.1248763559144503
GLIS3	-0.9897518333287226	7.203782727774054	-2.9203759154633495	0.004984621688734118	0.2644382974743969	-2.1257457024899833
CASP1	0.9081320196751432	8.950073057947364	2.9016408401920555	0.005254521177814142	0.2644382974743969	-2.168238710803836
EDIL3	-1.2829581717679452	7.936065674978962	-2.8998448623087083	0.005280796053581676	0.2644382974743969	-2.172266817543842
LTA	1.369310361407461	4.9537729302076565	2.898627841930561	0.0052971051758370635	0.2644382974743969	-2.1748127165476014
SYK	0.7437386935962463	10.226100912285071	2.8935960779903045	0.005373166641284798	0.2644382974743969	-2.1862680539555486
ATP7B	-0.8483807724791557	7.379421130105143	-2.879266522794685	0.0055875211607846415	0.2644382974743969	-2.217947691872634
IRF4	1.5260610483182038	7.498442831533115	2.867631320466663	0.005773241525349974	0.2644382974743969	-2.2442143552540124
DNAJA1	0.4457162552590939	12.283772895181357	2.853952073847869	0.005991657380579046	0.2644382974743969	-2.2742584620616353
TRIP13	0.8860732295918323	9.184833651716035	2.8510948514168297	0.006042225294566949	0.2644382974743969	-2.280923905555969
FOXP3	0.986270723541587	7.318903440729849	2.849359775184609	0.00606780652584824	0.2644382974743969	-2.284435469110372
TCF7	1.1419639907480008	9.081633748793838	2.8424105905872006	0.006188079729282577	0.2644382974743969	-2.300140984727905
ETV7	1.0719662950567275	7.519532443819374	2.841235267826026	0.006208067625569625	0.2644382974743969	-2.3027385631811197
PSIP1	0.7359579401149203	10.202396247801202	2.8341088900162323	0.006330543680085472	0.2644382974743969	-2.318471933534675
TNFRSF9	1.288735949431825	6.935049417880067	2.8276413190108594	0.006443624926656689	0.2644382974743969	-2.3327260685484204
GPER1	0.897105259012473	5.7596513401837575	2.821627395360738	0.0065469933645307355	0.2644382974743969	-2.345641394997377
SOCS1	0.9292290157921479	7.468778194482942	2.8187344355388264	0.006598942690977506	0.2644382974743969	-2.3520012227378277
XCL2	1.1800311229625318	3.6145346368386404	2.8187108914114094	0.006599367032409935	0.2644382974743969	-2.352052962261486
NDC80	0.833383427988177	8.488670424974941	2.814093228931642	0.006686063126000007	0.2644382974743969	-2.362462832379179
RAD18	0.49959334900846225	8.790442708430046	2.7995290028240682	0.006953573993962993	0.2644382974743969	-2.394101685504516
SLC2A13	-0.6228416352679264	7.229528015688652	-2.7977232416521556	0.006987805580671756	0.2644382974743969	-2.3980493248827726
HHAT	-0.6994535924455675	7.649200464246413	-2.7969889584815215	0.0070017696541875936	0.2644382974743969	-2.399654035926936
GADD45A	-0.6899593226935741	8.428780818035724	-2.7898583604590614	0.007138717769162673	0.2644382974743969	-2.415221321446431
OGG1	0.473553686222744	8.817344558507957	2.787596282646258	0.007182675394314772	0.2644382974743969	-2.4201537436479046
PDCD1	1.3847217095504576	6.085525863736016	2.782912140103438	0.007278157620033815	0.2644382974743969	-2.430657739153041
ASPM	0.8683121657420042	9.49598546193219	2.7827880577453654	0.007280605184890517	0.2644382974743969	-2.4309278238326626
AURKA	0.7251622339984708	9.267816298898547	2.7777485317022044	0.0073806542357287815	0.2644382974743969	-2.4418896861613386
CEBPD	-0.5962245401885821	10.464601934419244	-2.7686112488234795	0.00756336793407688	0.26450809246087387	-2.4615773982581257
CD19	1.9051404805300693	5.0813059760188874	2.7672316047438072	0.007593533754857623	0.26450809246087387	-2.4647189134365215
CCT5	0.4764836886492728	12.65423631001729	2.7508953165827137	0.007931583598783208	0.2708579907337335	-2.49976888785182
HSD17B4	0.5057068071897394	10.470579650802552	2.748083496977611	0.00799182269310059	0.2708579907337335	-2.5058364932037778
PRKCB	1.2781569772455053	8.295893433010619	2.7388495249835056	0.008196531844234568	0.2709435569878172	-2.526009880649649
CD3D	1.3040983681066152	7.035813563398772	2.738219138659021	0.008210410817812642	0.2709435569878172	-2.527365900053447
IL2RG	1.2024124548271904	9.651618384337675	2.728383401390171	0.008429774036394937	0.2745697828997208	-2.548493542294579
CCNE2	0.9405101664548152	7.569175997440233	2.7207368509166474	0.008601436241397135	0.2749873238318032	-2.5647055127072207
TAP2	0.7122612753198664	11.17935402983626	2.711619577939011	0.008816083318323476	0.2749873238318032	-2.584372977981148
GZMA	1.246756974756813	6.915112118304772	2.7069215257101487	0.008927221493291398	0.2749873238318032	-2.5943986586840744
EVL	0.5825276944593231	10.803403665193406	2.7050029522637655	0.008971998099349263	0.2749873238318032	-2.5984262244103964
SLAMF7	1.221262619113719	8.936652183680101	2.695286301135733	0.00920801669066107	0.2749873238318032	-2.6191725000077875
HLA-B	0.8069955440962348	15.199276768621626	2.6891637240388717	0.009359000642333193	0.2749873238318032	-2.6321767432762186
RRM2	0.6894625126594133	10.46310300326597	2.6867409432816465	0.009419370226483672	0.2749873238318032	-2.6373165769956524
CD8A	1.2191628874403384	8.415881682739625	2.683390535500552	0.009503441257524392	0.2749873238318032	-2.644418620295526
OASL	1.2678273586290139	8.119634506545854	2.6669314566109823	0.009926503642139092	0.2749873238318032	-2.679211279643241
HIF3A	1.6855645243668387	4.374343791384544	2.665739633045068	0.009957796867628186	0.2749873238318032	-2.6817244183267226
CD40	0.8371251393610878	8.50476798896881	2.6648450744762804	0.009981344139962945	0.2749873238318032	-2.683610174176752
ITGAV	-0.5907240506541646	11.475137597105432	-2.660116460565259	0.010106662081411866	0.2749873238318032	-2.6935703189801625
CNTFR	1.7166713585023299	6.478265332129768	2.654141027030803	0.010267079090744891	0.2749873238318032	-2.706137652590839
FGF11	0.9305139954031794	7.183270156556105	2.649173166171662	0.010397758579121683	0.2749873238318032	-2.7163277234584426
CD27	1.3912052702949946	7.223871402594249	2.6442603397674342	0.010537446019270253	0.2749873238318032	-2.7268716056707936
LTB	1.35487128523342	8.581622507364902	2.633509724511527	0.01083898647308238	0.2749873238318032	-2.749364631202309
FGF13	-1.2386268829971874	7.047178620238058	-2.631490270425809	0.010896499998986143	0.2749873238318032	-2.753582103524522
PIM2	0.8171418453516655	9.36122001547573	2.6314829340392007	0.010896709443785638	0.2749873238318032	-2.7535974205269365
CCR8	1.1793825084264427	4.061099251313494	2.6293420227597033	0.010953408336777288	0.2749873238318032	-2.7578317958016836
SULT1B1	-1.8544320002367238	4.9005228355953845	-2.6286094598784144	0.01097902648683964	0.2749873238318032	-2.7595942078153697
CCNB1	0.6399648337007848	10.024991369461269	2.6253897281063794	0.011071936158926264	0.2749873238318032	-2.766307713532914
PLAT	-0.8588160393982328	9.602336639281646	-2.6250181505178136	0.011082704532927062	0.2749873238318032	-2.7670820931519935
JAK2	0.65011229264279	8.624362382309505	2.6247979281227733	0.011084483978917863	0.2749873238318032	-2.7673087223816975
CDKN2A	1.3234646307677762	9.917982230708958	2.615791135751342	0.011353185458123532	0.2749873238318032	-2.7862847872698158
CAPN6	2.2501436010785643	6.503479447958629	2.6156352664039457	0.011357805832413954	0.2749873238318032	-2.7866087315865906
LCN1	-0.638811362259747	0.5084425612325895	-2.609411493850019	0.011538995889889969	0.2749873238318032	-2.799305324887672
CXCL11	1.5145176866706995	7.258723856399589	2.6089348416894897	0.011558050735052578	0.2749873238318032	-2.800520382600674
BAG3	-0.4512900201340999	10.363406495053395	-2.6054673089700833	0.011658207388564372	0.2749873238318032	-2.807484323796025
DUSP2	0.7990646641542835	7.81455136462476	2.6040929714297008	0.01170000890176144	0.2749873238318032	-2.810332051661775
