Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
IFNG	2.1331401239117596	2.733359552138958	4.552429400918817	2.8024782537020688e-5	0.055727637289122695	2.142650985625944
GBP1	1.6170166335089868	11.043208527021829	4.4195512712828124	4.443990214443596e-5	0.055727637289122695	1.7600913871142803
STAT1	1.1854359841662456	12.828028295855336	4.23126067651581	8.457645578993891e-5	0.07070591704038894	1.2262746931523036
DLGAP5	1.0714935883448418	8.730707428364584	3.91617873178227	2.4121436289492216e-4	0.1512414055351162	0.3579837035956679
TAP1	1.0921368055348792	12.355543090190523	3.797780954769599	3.5432256096204907e-4	0.17739392264595227	0.04007223582244546
IL22RA2	1.9419603636075662	4.377362762829532	3.741517132491216	4.24387374751082e-4	0.17739392264595227	-0.10896729043538933
CXCL9	2.2100150507573484	10.577296282556357	3.684951094647913	5.081044078319699e-4	0.1820465506917972	-0.2575606499023486
LAG3	1.6814912915244138	7.051746316236096	3.584881621030413	6.962727453302211e-4	0.20675517150271597	-0.5172680171827047
IL12B	1.4724620166568119	2.335155135567624	3.56444043534053	7.419443953446744e-4	0.20675517150271597	-0.5696135307696117
FGF14	-1.1919168383568401	2.5314565990738407	-3.4898571673504235	9.341592366934178e-4	0.21417601718250806	-0.7592407239243535
IRF1	1.0030864570652784	10.720887780428964	3.474713513086856	9.797761529230277e-4	0.21417601718250806	-0.7983141787514612
IRF9	0.814039450865052	10.292465006296316	3.4600964893138624	0.0010247656324521917	0.21417601718250806	-0.8352067996631423
STMN1	0.9268231709829092	12.239070291860756	3.4298761482799454	0.0011240759955614369	0.21512728715646623	-0.9111803154266509
GZMB	1.8040103547759385	6.579441739865215	3.374552876942718	0.0013299685083024487	0.21512728715646623	-1.04919568863565
ICOS	1.6032861285824567	5.896961309631186	3.361928116408755	0.0013817192657964265	0.21512728715646623	-1.0804947794106896
MELK	1.004222277204144	9.095486577932274	3.3432509533783237	0.001461785968904896	0.21512728715646623	-1.1266637032070914
CTLA4	1.525520960498042	5.493113155333458	3.304713624545173	0.0016405263115689688	0.21512728715646623	-1.2211879452191852
FASLG	1.5118455359918255	5.159762687055696	3.2959437750650595	0.0016837139243832304	0.21512728715646623	-1.2424893669683783
CXCL10	1.7855614363922954	9.655283810816591	3.2861756363084043	0.0017345133239574852	0.21512728715646623	-1.2667389098233786
L1CAM	2.069213534786484	7.783331922656829	3.273440363351478	0.0018015996817072628	0.21512728715646623	-1.2977834645981225
ZBTB32	1.3937555827571728	3.2719076128295645	3.260243623656608	0.0018726764640408914	0.21512728715646623	-1.3295017730726668
GNLY	1.6067566702725282	6.926829090464652	3.2578458387606686	0.0018870814662847915	0.21512728715646623	-1.3356921320320518
IDO1	1.8105119157666492	7.922106503064081	3.230727531724465	0.0020449010686311134	0.22298312522290575	-1.4013343869474042
IL2	0.8051479354672625	0.6716405010180448	3.2115526616443884	0.00216215930859928	0.22594564774862477	-1.4469905304403374
NRP2	-0.8928400304572081	10.58150310488065	-3.1958207170531727	0.0022663727487179917	0.22736251415138892	-1.485301558863605
CD2	1.372306824567556	8.550375527593973	3.166441499194313	0.0024700538811191454	0.2382651974556468	-1.5555063173235517
CDKN2C	0.8053159282405155	9.226252892875628	3.1069419518991634	0.002935974023138321	0.26090299975177683	-1.6962919880344973
APOL3	1.0650573784736868	9.333039573999445	3.090432206597428	0.0030795694920123604	0.26090299975177683	-1.735126415146134
MX1	1.3339031469953528	11.718887030026746	3.069214404605769	0.003273329704651174	0.26090299975177683	-1.784740381153021
ABCC12	-1.8129889256065126	1.3285771741840127	-3.0547457232398556	0.003411929278471518	0.26090299975177683	-1.8184391310980001
CXCR6	1.3032056894559436	6.659120753203978	3.044264604914931	0.0035156144672975832	0.26090299975177683	-1.8427604988933366
CXCR3	1.345311585713356	7.011172095713509	3.0407603836663353	0.003551092534104181	0.26090299975177683	-1.8509085217554055
MYBL2	0.9101189298439476	11.144741488130535	3.0394869238499695	0.003564024079277425	0.26090299975177683	-1.8538600014664595
KIF14	0.9640348698839573	8.376129160016017	3.0380366032971877	0.0035788051160248304	0.26090299975177683	-1.8572203543344399
CCL19	2.1004403239770806	7.670907381503003	3.031995522183756	0.003640990825882053	0.26090299975177683	-1.8712055096384872
IL2RB	1.2029497770186302	9.41698947330453	2.9967281040769205	0.00402461060887922	0.2644382974743969	-1.9524659990381812
GRB10	-0.6293337759360818	10.800132049397163	-2.9878623065579633	0.004125317601155886	0.2644382974743969	-1.9725614045699769
CCNE1	1.0842122250301012	7.945557591011492	2.986010816626117	0.004148447622815935	0.2644382974743969	-1.9770292709431554
CD274	1.1305117876556319	6.867808398082399	2.9800032431531065	0.004217054702295888	0.2644382974743969	-1.990417958720776
TBX21	1.3931171155485749	5.503425798908284	2.9766191426343633	0.004259238730146805	0.2644382974743969	-1.9984094047127607
CCR7	1.692408109572174	7.238574879882595	2.9683274992862296	0.004360558726188952	0.2644382974743969	-2.017424004342448
MCM6	0.5492668410781316	10.860382723503804	2.933976079610472	0.004798842240508714	0.2644382974743969	-2.0950385013249373
XCL1	1.2503619399630392	3.9519230472778015	2.9293791686313697	0.004860904984282823	0.2644382974743969	-2.1054289498744887
AURKB	0.8913933814244095	8.535505660351113	2.920924699529564	0.004979937744284748	0.2644382974743969	-2.1248763559144503
GLIS3	-0.9897518333287226	7.203782727774054	-2.9203759154633495	0.004984621688734118	0.2644382974743969	-2.1257457024899833
CASP1	0.9081320196751432	8.950073057947364	2.9016408401920555	0.005254521177814142	0.2644382974743969	-2.168238710803836
EDIL3	-1.2829581717679452	7.936065674978962	-2.8998448623087083	0.005280796053581676	0.2644382974743969	-2.172266817543842
LTA	1.369310361407461	4.9537729302076565	2.898627841930561	0.0052971051758370635	0.2644382974743969	-2.1748127165476014
SYK	0.7437386935962463	10.226100912285071	2.8935960779903045	0.005373166641284798	0.2644382974743969	-2.1862680539555486
ATP7B	-0.8483807724791557	7.379421130105143	-2.879266522794685	0.0055875211607846415	0.2644382974743969	-2.217947691872634
