Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
CDH7	-7.432031693181953	-5.276569237562353	-6.866721640379805	4.2116779908866926e-6	0.05199075804926143	1.3190453395385546
CD27-AS1	-2.2691674740532175	3.940694686357125	-6.379544312108907	9.918740713650013e-6	0.05199075804926143	3.4270796110415285
KRBOX1	-5.167605942493261	-2.3471417692920604	-6.265203631630522	1.221738413886542e-5	0.05199075804926143	1.4652868907631795
SPOCK2	-4.3668241847051315	4.119133076182175	-6.268826276825505	1.2255520855452151e-5	0.05199075804926143	3.2854518581259713
ODAM	-9.217052416360948	-1.9380746917427114	-6.214423037015322	1.3539346437319252e-5	0.05199075804926143	2.4307050862641937
LOC121725015	-6.524745489170154	-4.70152728037459	-6.146367255155277	1.5345081800402894e-5	0.05199075804926143	0.6787554521310089
TLE1-DT	-5.463960745917052	-5.669821731971399	-6.081029339489404	1.7156239397766936e-5	0.05199075804926143	-0.12177937913079973
LINC00488	-5.53404051577669	-5.9236922539043535	-5.947497942505779	2.2007968413674312e-5	0.05835687924490915	-0.2718794230743278
KLRF2	-5.854271029363081	-5.537325608568751	-5.83310046674297	2.7294444508239787e-5	0.06433300570592118	-0.14805860018270156
FDCSP	-10.730182262142998	1.8091469407634035	-5.647395809787013	3.917008487164197e-5	0.08309150103821411	2.0318047332538116
LINC01224	-6.652975570987832	-3.79527508588637	-5.311967506852627	7.492064245877042e-5	0.14448105349799065	0.329707192761294
CLDN10	-6.61785540242556	1.1613919176462866	-5.0502561105513175	1.2549326591556437e-4	0.20866414317171905	1.0905734771622138
RNF186	-6.390566165987808	-4.668063045498474	-5.007584954249063	1.3661058482667071e-4	0.20866414317171905	-0.38533866171761577
C1QL2	-5.562720377072396	-2.0274317358861063	-5.003551361237245	1.3771262925583682e-4	0.20866414317171905	0.35098316976212907
LINGO2	-5.968933968235521	-4.693484168336127	-4.9086483684906925	1.6645906123365984e-4	0.22401192021024563	-0.6381062058559115
TMEM178B	-5.500896340533518	-1.8374830042755401	-4.884567258455192	1.7469062047100804e-4	0.22401192021024563	0.24961859790395557
RPS14P1	-3.098262909672236	1.0015117928692974	-4.870970202680813	1.795221158522687e-4	0.22401192021024563	0.6016086134807646
PDIA2	-6.358229343210428	-1.4920546429022468	-4.7057698185726355	2.504769350343128e-4	0.29518706793793764	0.23237079981944042
MFF	-1.712741793296179	6.196477913880304	-4.599068316860526	3.1106428603532477e-4	0.347295089456176	0.48066371686199716
DAPL1	-5.682708221483892	-1.6530320301512063	-4.561665804844012	3.356947392908989e-4	0.3560546252288919	-0.1318000046123542
RHOD	-1.8299025669638813	4.950278619563854	-4.481584451217803	3.9536152348725994e-4	0.3681414618779735	0.2607684418128793
CCL19	-5.297901635118243	2.380407247091577	-4.473134374621055	4.022595677307413e-4	0.3681414618779735	0.19916585845157186
EMG1	-1.6120190057117667	5.674107758546159	-4.459062182113747	4.1402112053763807e-4	0.3681414618779735	0.2219926603037896
DRGX	-4.855935923615802	-5.890998314900905	-4.439883645343051	4.2853021602475775e-4	0.3681414618779735	-1.5547878689859678
GOLGA3	2.3261045340517743	5.152293805298397	4.436222693282253	4.3386303431618996e-4	0.3681414618779735	-0.01500186780990731
LYPD1	-2.7548300791040257	1.0894499117380096	-4.408582850440157	4.591791481408478e-4	0.3746372026735309	-0.13188216513101203
C11orf86	-6.315567895089773	-3.3513992232204637	-4.373938515571312	4.930525734833691e-4	0.3873749719001003	-0.7122592357671742
NOL4	-5.83490560092105	-3.3556324410717338	-4.344611041320478	5.237140961005311e-4	0.3967695400207345	-0.8286514227301174
LOC101927042	-5.430090526540241	-5.1363092400400765	-4.320370727149429	5.505202682737013e-4	0.4026960845134492	-1.4270529159322511
LINC02265	-5.266151002625501	-4.750694469901393	-4.253143041525317	6.324147024919516e-4	0.44108291403897204	-1.4566592146394082
POLR2G	-1.29858348167191	6.8342239652822805	-4.231763406972158	6.581022045875779e-4	0.44108291403897204	-0.19619163705182974
ALKAL2	-5.820730513664736	-0.29209980226191923	-4.2285537721624396	6.653775161102676e-4	0.44108291403897204	-0.3814007693175805
LY6D	-6.67957689212572	0.9664691828856716	-4.193790575547681	7.149842627018681e-4	0.4596048837786281	-0.3482415411416504
COL4A3	-3.9264462914050906	-0.6426695335935818	-4.170872417228626	7.497289037602981e-4	0.4673039704118253	-0.7351390656951624
LINC00987	-4.040470746248715	-0.7951053383155956	-4.146864385855102	7.879679038566367e-4	0.4673039704118253	-0.7766301352892073
NXPH2	-4.594453559280643	-5.1428054959898555	-4.133053951466396	8.077020007530988e-4	0.4673039704118253	-1.7460523004287203
RPS27AP6	-4.38829020346758	-5.226808123535906	-4.126885889991012	8.179232617961798e-4	0.4673039704118253	-1.789883265478934
VSIG10L2	-5.919353178050435	-5.258486521187894	-4.1176932288312464	8.371070039904475e-4	0.4673039704118253	-1.574269295922058
PARD6A	-1.7413920975502886	2.80383783482237	-4.096351320961285	8.714870660414738e-4	0.4740219264599432	-0.4943293711850183
PSMB4	-1.3490551051356585	6.729395073646964	-4.084099796423886	8.939665483967275e-4	0.47409280977849455	-0.4734928845571673
LINC02367	-4.1327597716004885	-1.0404231738909333	-4.051792737567455	9.598804145749991e-4	0.4891451770270074	-0.9498896534432166
F11-AS1	-5.6912522812607795	-5.001420257462096	-4.047508485546416	9.684673282955881e-4	0.4891451770270074	-1.645353159306321
LINC00942	-3.9961510314371953	-2.1771461123446714	-4.031306866740834	0.0010016498455341287	0.49413949240268534	-1.296286987234117
RPL10P9	-3.006080243417591	4.450760288114636	-4.007743119098705	0.0010519775055207676	0.5001082132207356	-0.6169685894488861
KRT13	-4.789268839039628	-2.222796863810499	-3.9974500540954487	0.0010747577023245102	0.5001082132207356	-1.2314825227937245
INHA	-7.485522709097293	-0.9484478453414269	-3.992604471652748	0.0010856539496939474	0.5001082132207356	-0.7750995411353987
ANXA8	-5.35685897394382	3.3986221566923445	-3.9776256174667406	0.0011200488553539348	0.5001082132207356	-0.6732390050967769
RPL10P6	-2.456317397637047	3.1374702850510148	-3.9697357560451967	0.0011386069346854893	0.5001082132207356	-0.6926225841600067
ASPHD1	-4.50368995131701	0.01925562140567112	-3.957310994743942	0.0011684643346056673	0.5001082132207356	-0.8708871223534667
RFXANK	-1.7725904234902305	5.332670434555789	-3.953093707425605	0.001178777667516937	0.5001082132207356	-0.7208365973445305
