pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B
HALLMARK_ANDROGEN_RESPONSE	-0.01582663849773669	0.23723624860500486	-5.058269192480942	6.007282540514973e-7	3.0036412702574865e-5	4.588239648062288
HALLMARK_MYOGENESIS	-0.016875552441938307	0.18158192605478315	-4.2346897856961965	2.737832407572506e-5	4.5373302432869455e-4	0.9231491771576898
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.03372420058800019	0.23556030980897794	4.222921413431189	2.8797495241147088e-5	4.5373302432869455e-4	0.8750392667784883
HALLMARK_ALLOGRAFT_REJECTION	0.030112541524654538	0.0626714737640321	4.164339423377973	3.695119202928231e-5	4.5373302432869455e-4	0.6378032482811218
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.03487167091638395	0.26609155547704455	4.11556774165362	4.537330243286945e-5	4.5373302432869455e-4	0.44264971726263624
HALLMARK_E2F_TARGETS	0.03282360565288894	0.28672214583882516	3.9321170397564895	9.644857122044972e-5	8.037380935037477e-4	-0.27215519527055054
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.02135936545033027	0.17885022376969217	3.823061922247625	1.4894676867247125e-4	0.0010639054905176519	-0.6825878417866296
HALLMARK_G2M_CHECKPOINT	0.028935688499566806	0.29878488433923767	3.671012906618253	2.683724961736432e-4	0.00167732810108527	-1.2366628186989752
HALLMARK_PROTEIN_SECRETION	-0.01184268923155914	0.371974773747991	-3.315588682603755	9.828979469321106e-4	0.005460544149622836	-2.448513981712958
HALLMARK_NOTCH_SIGNALING	-0.014496740981659114	0.1930457138198224	-3.2201913103905326	0.001366814092529307	0.006834070462646535	-2.7537550192937967
HALLMARK_HEDGEHOG_SIGNALING	-0.014007276649668039	0.02945637121482162	-3.085846452966895	0.0021454998056258208	0.009752271843753732	-3.1691210672198222
HALLMARK_MITOTIC_SPINDLE	0.021083985411639018	0.31361700519469793	3.0525936734068315	0.002393062248577622	0.009971092702406759	-3.269325246607951
HALLMARK_MYC_TARGETS_V1	0.01503375019293004	0.4268642136845464	2.9919678861072954	0.0029128277460525537	0.011203183638663669	-3.4492881383393827
HALLMARK_INFLAMMATORY_RESPONSE	0.016471375846041674	0.09314866719623163	2.836566165493956	0.00475051774535758	0.0169661348048485	-3.894658772105595
HALLMARK_UV_RESPONSE_DN	-0.011460046343986414	0.2491550644533038	-2.7319494887831555	0.006525203161049146	0.02153532262360206	-4.18155122840693
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.010607023606850452	0.20222397436245615	-2.7136339099346656	0.0068913032395526595	0.02153532262360206	-4.230703581717211
HALLMARK_HEME_METABOLISM	-0.006260173302116874	0.16829624523284625	-2.5381786665575423	0.011454155258280498	0.03336147581009657	-4.685278168663172
HALLMARK_UV_RESPONSE_UP	0.007192814091929665	0.16477057118449678	2.507636300250531	0.01247909572929496	0.03336147581009657	-4.761387540896771
HALLMARK_TGF_BETA_SIGNALING	-0.010717439696541958	0.31736046764170317	-2.5019870171839083	0.012677360807836695	0.03336147581009657	-4.775366765959108
HALLMARK_COMPLEMENT	0.009838517593460234	0.16935544829566004	2.4649684128093465	0.014047168092560399	0.03420162072786438	-4.866209189811464
HALLMARK_BILE_ACID_METABOLISM	-0.009118072549748198	0.011685639488743314	-2.4458981122558368	0.014802728120017988	0.03420162072786438	-4.912491676434229
HALLMARK_MTORC1_SIGNALING	0.008169872245138767	0.3606761824685771	2.4279114903470167	0.015548045813063793	0.03420162072786438	-4.955822735693038
HALLMARK_SPERMATOGENESIS	0.01789662639584848	-0.0053793488358893846	2.4235770026297327	0.015732745534817617	0.03420162072786438	-4.966224793519833
HALLMARK_IL2_STAT5_SIGNALING	0.008368183409376347	0.1706058218361398	2.353959528907595	0.018971709787560707	0.03952439539075148	-5.130696148826602
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.010688091494323497	0.3246370729218227	-2.2311527765970065	0.026126344498218053	0.052252688996436106	-5.40940707565467
HALLMARK_COAGULATION	-0.00833098195703533	0.19259632237428168	-2.060245070456219	0.039906797933594924	0.07401768931322225	-5.7729171019177965
HALLMARK_MYC_TARGETS_V2	0.01359387166854323	0.28437005948691996	2.044890284539653	0.04140385690088254	0.07401768931322225	-5.804185025770444
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.007895354562577454	0.1112596808018903	-2.044423865329598	0.04144990601540446	0.07401768931322225	-5.8051298312781086
HALLMARK_XENOBIOTIC_METABOLISM	-0.007740961492054397	0.02171142982224113	-1.8987507491686437	0.05818915143708443	0.09960035093240088	-6.090244095878521
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.003700304412893733	0.178530384218646	1.8869684142523704	0.05976021055944053	0.09960035093240088	-6.112397886007864
