Gene	logFC_ISPY2	FDR_ISPY2	logFC_GSE	FDR_GSE	sig_ISPY2	sig_GSE	sig_ambas	categoria
FAM151B	-0.7487987087596426	3.53989160914824e-5	0.2949177485331736	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
DNALI1	-1.3693337528040703	9.408263838170092e-5	-2.2974056388506905	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
NSMCE1	-0.4963911838193721	4.1975061041599974e-4	-0.4811291510744107	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
APBB2	-0.6715355729423145	4.1975061041599974e-4	0.5479628627599962	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
CDCA7	1.089699731903484	4.1975061041599974e-4	-1.119084863240275	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
ATP11A	0.7460316973974562	6.48812672947535e-4	-1.1603237248743172	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
CA12	-1.7815915996425356	6.48812672947535e-4	2.56622934994362	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
RARRES1	1.5350717842096608	6.48812672947535e-4	-1.6771274440751376	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
FOXS1	-0.7945428133719968	6.48812672947535e-4	0.8890542746004476	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
SLC39A6	-1.4683868067334165	6.48812672947535e-4	-0.05404431771261283	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
IDO1	1.0531294705549767	9.97911687354312e-4	0.17379395691869495	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
CLEC3B	-0.8104538673378195	0.0014798635453549	0.5215606551050516	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
HRK	1.0616956648611178	0.0014798635453549	-3.5013111672334807	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
MAGED2	-1.0041427477157077	0.00153577323184405	0.14927273651227643	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
ANKRD30A	-2.4656283489266997	0.0016226413525124	3.363277388125989	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
IGF2BP3	1.0698074264558357	0.00189351805615053	-1.2911982407359412	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
KCNK5	0.8530968247888959	0.00208610366199425	-0.5947406370453124	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
TRIM3	-0.700328390873776	0.00208610366199425	0.4925240106147133	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
LAMP3	0.7910686837737766	0.00208610366199425	-1.1458220079036774	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
CELSR1	-0.5550506830077875	0.00208610366199425	0.440685145300341	0.9994332785153688	TRUE	FALSE	FALSE	Solo I-SPY2
