pathway	logFC_ISPY2	FDR_ISPY2	NES_GSE	FDR_GSE	sig_ISPY2	sig_GSE	sig_ambas	categoria
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.07052916672164147	8.327236261469928e-4	-0.7560307951837152	0.9632361918536396	TRUE	FALSE	FALSE	Solo I-SPY2
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.06126913583845492	0.01863292726113532	-1.6544437734694146	0.0061050061050061	TRUE	TRUE	TRUE	Significativa en ambas
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.06926267679256916	0.01914444030746151	-2.057075857682426	0.00209590878604963	TRUE	TRUE	TRUE	Significativa en ambas
HALLMARK_ALLOGRAFT_REJECTION	0.0481391408212374	0.02137116848325734	-0.7956664394777392	0.9632361918536396	TRUE	FALSE	FALSE	Solo I-SPY2
HALLMARK_MYOGENESIS	-0.02122294856153753	0.02137116848325734	1.387910395222168	0.01784227429523016	TRUE	TRUE	TRUE	Significativa en ambas
HALLMARK_G2M_CHECKPOINT	0.04444025219904476	0.02540602109175169	-1.2423740978543534	0.19917243083003955	TRUE	FALSE	FALSE	Solo I-SPY2
HALLMARK_E2F_TARGETS	0.05221953322463225	0.02540602109175169	-1.843462950620455	0.00209590878604963	TRUE	TRUE	TRUE	Significativa en ambas
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.03457490366212874	0.0290201897870242	-0.8706091237543178	0.9248658813118744	TRUE	FALSE	FALSE	Solo I-SPY2
HALLMARK_SPERMATOGENESIS	0.01665320792489679	0.0290201897870242	0.9414802212860152	0.8290863705926927	TRUE	FALSE	FALSE	Solo I-SPY2
HALLMARK_FATTY_ACID_METABOLISM	-0.01787188183249981	0.0290201897870242	-0.7534228877426655	0.9632361918536396	TRUE	FALSE	FALSE	Solo I-SPY2
HALLMARK_ANGIOGENESIS	-0.03072094534127736	0.0290201897870242	1.3975583955754405	0.14299779642739932	TRUE	FALSE	FALSE	Solo I-SPY2
HALLMARK_MYC_TARGETS_V2	0.03050629396621433	0.02943743757672659	-1.5902783034429069	0.03188288652386726	TRUE	TRUE	TRUE	Significativa en ambas
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.03652905420702931	0.03237718512524559	-0.8268796528873745	0.9366358464593308	TRUE	FALSE	FALSE	Solo I-SPY2
HALLMARK_INFLAMMATORY_RESPONSE	0.02886619813433309	0.07592517675963899	0.834927478540048	0.9632361918536396	FALSE	FALSE	FALSE	No significativa
HALLMARK_UV_RESPONSE_UP	0.01273172161875386	0.0911697594519788	-1.2433648596018314	0.2087809933098645	FALSE	FALSE	FALSE	No significativa
HALLMARK_MITOTIC_SPINDLE	0.02099135166650033	0.0911697594519788	1.531114139972796	0.00779666302822392	FALSE	TRUE	FALSE	Solo GSE241876
HALLMARK_COMPLEMENT	0.02004698202202655	0.12279326308166064	1.15105498367316	0.22970085470085472	FALSE	FALSE	FALSE	No significativa
HALLMARK_MTORC1_SIGNALING	0.01947004498112947	0.12279326308166064	-0.8740702114563956	0.9248658813118744	FALSE	FALSE	FALSE	No significativa
